# s_um   R_B_m2K_per_GW
1.500000000000000000e+00 4.794933225326182269e-01
3.000000000000000000e+00 6.681106527810105611e-01
4.500000000000000000e+00 8.479293656720834349e-01
6.000000000000000000e+00 9.031783830948110214e-01
7.500000000000000000e+00 5.412947882414591572e-01
9.000000000000000000e+00 8.997611325989687270e-01
1.050000000000000000e+01 5.617041795567592199e-01
1.200000000000000000e+01 -9.401212060570250939e-01
1.350000000000000000e+01 -8.396945025172518617e-01
1.500000000000000000e+01 4.987573623804247847e-01
1.650000000000000000e+01 8.233186930065684583e-01
1.800000000000000000e+01 8.917579200698856345e-01
1.950000000000000000e+01 3.772064547722074335e-01
2.100000000000000000e+01 4.716663754794278574e-01
2.250000000000000000e+01 5.557186544533970762e-01
2.400000000000000000e+01 1.067586915376697698e+00
2.550000000000000000e+01 1.270739883909178136e+00
2.700000000000000000e+01 8.918129434367568775e-01
2.850000000000000000e+01 7.399097292254324110e-01
3.000000000000000000e+01 5.496052078254782813e-01
3.150000000000000000e+01 6.490289877835581089e-01
3.300000000000000000e+01 6.243437722031495163e-01
3.450000000000000000e+01 3.740206118835091020e-01
3.600000000000000000e+01 6.894991869705450194e-01
3.750000000000000000e+01 9.624018350519711884e-01
3.900000000000000000e+01 3.972252519509588686e-01
4.050000000000000000e+01 2.521672707825382553e-01
4.200000000000000000e+01 6.523556815811215603e-02
4.350000000000000000e+01 -3.360061056967091453e+00
4.500000000000000000e+01 -2.149390356672629565e+00
4.650000000000000000e+01 1.511864304872956311e-01
4.800000000000000000e+01 8.797239985490908909e-01
4.950000000000000000e+01 8.577322125310046230e-01
5.100000000000000000e+01 8.433727665901628034e-01
5.250000000000000000e+01 8.359777470222224949e-01
5.400000000000000000e+01 2.304016493246851260e-01
5.550000000000000000e+01 2.147816182443606503e-01
5.700000000000000000e+01 7.248168364566129895e-01
5.850000000000000000e+01 5.804548991693450066e-01
6.000000000000000000e+01 nan
6.150000000000000000e+01 nan
6.300000000000000000e+01 nan
6.450000000000000000e+01 nan
6.600000000000000000e+01 nan
6.750000000000000000e+01 9.848243714735398502e-01
6.900000000000000000e+01 1.452174924669338507e+00
7.050000000000000000e+01 5.109859511977515867e-01
7.200000000000000000e+01 9.470606900700471176e-01
7.350000000000000000e+01 nan
7.500000000000000000e+01 nan
7.650000000000000000e+01 nan
7.800000000000000000e+01 8.693777918883939249e-01
7.950000000000000000e+01 7.123535387132647889e-01
8.100000000000000000e+01 nan
8.250000000000000000e+01 nan
8.400000000000000000e+01 nan
8.550000000000000000e+01 nan
8.700000000000000000e+01 nan
8.850000000000000000e+01 nan
9.000000000000000000e+01 nan
9.150000000000000000e+01 nan
9.300000000000000000e+01 nan
9.450000000000000000e+01 nan
9.600000000000000000e+01 nan
9.750000000000000000e+01 nan
9.900000000000000000e+01 nan
1.005000000000000000e+02 nan
1.020000000000000000e+02 nan
1.035000000000000000e+02 nan
