# s_um   R_B_m2K_per_GW
2.500000000000000000e+00 nan
5.000000000000000000e+00 nan
7.500000000000000000e+00 1.326282413291763607e-01
1.000000000000000000e+01 -4.193211567439564247e-02
1.250000000000000000e+01 -6.518743243805469323e-03
1.500000000000000000e+01 7.952521206021042621e-01
1.750000000000000000e+01 1.620963264240682378e+00
2.000000000000000000e+01 7.686583065845303819e-01
2.250000000000000000e+01 3.134619151013617877e-01
2.500000000000000000e+01 -1.579804292270753363e-01
2.750000000000000000e+01 -3.957982047013514082e-02
3.000000000000000000e+01 -1.907944922473298055e-01
3.250000000000000000e+01 -2.503566284652772311e-01
3.500000000000000000e+01 -2.357648665268932131e-01
3.750000000000000000e+01 2.026346564587410137e-01
4.000000000000000000e+01 1.807716876972271236e-01
4.250000000000000000e+01 3.522733200134200993e-03
4.500000000000000000e+01 -3.404030505680567531e-01
4.750000000000000000e+01 3.908006916926586305e-01
5.000000000000000000e+01 -5.683972504425772732e-01
5.250000000000000000e+01 1.382161709206363609e+00
5.500000000000000000e+01 2.747294931220669589e-01
5.750000000000000000e+01 1.540931333509897971e+00
6.000000000000000000e+01 -1.634216512281031264e+00
