# s_um   R_B_m2K_per_GW
3.000000000000000000e+00 1.544029282163649652e+00
6.000000000000000000e+00 -8.294356714625134019e-02
9.000000000000000000e+00 1.077370750176196157e-01
1.200000000000000000e+01 4.436211416252320294e-01
1.500000000000000000e+01 3.129060310471639905e+00
1.800000000000000000e+01 -1.028059725994703300e-01
2.100000000000000000e+01 -6.855809732280074842e-01
2.400000000000000000e+01 1.337713936723631480e+00
2.700000000000000000e+01 2.301117406733803605e+00
3.000000000000000000e+01 1.070125955040195809e+00
3.300000000000000000e+01 4.239210576103217276e-01
3.600000000000000000e+01 5.488583770244306326e-01
3.900000000000000000e+01 5.264285878121189866e-01
4.200000000000000000e+01 -5.159042735044937489e-01
4.500000000000000000e+01 7.833660483142894648e-01
4.800000000000000000e+01 3.526712469858536148e-01
5.100000000000000000e+01 -1.195504977760942555e+00
5.400000000000000000e+01 7.039274914529582983e-01
5.700000000000000000e+01 4.374101418006175024e+00
6.000000000000000000e+01 -2.181611609089820103e+00
6.300000000000000000e+01 -7.293052639865131859e-01
6.600000000000000000e+01 -2.642366021489565009e-01
6.900000000000000000e+01 nan
7.200000000000000000e+01 nan
