# s_um   R_B_m2K_per_GW
1.500000000000000000e+00 nan
3.000000000000000000e+00 nan
4.500000000000000000e+00 nan
6.000000000000000000e+00 nan
7.500000000000000000e+00 nan
9.000000000000000000e+00 nan
1.050000000000000000e+01 7.530769187404443565e-01
1.200000000000000000e+01 3.885812987309342770e-01
1.350000000000000000e+01 4.767444020112142633e-01
1.500000000000000000e+01 5.159753884155652282e-01
1.650000000000000000e+01 4.963218226931347954e-01
1.800000000000000000e+01 2.529744456946172448e-01
1.950000000000000000e+01 2.221394323868128018e-01
2.100000000000000000e+01 2.581367088976038171e-01
2.250000000000000000e+01 2.286892134048314762e-01
2.400000000000000000e+01 4.229913562673224270e-01
2.550000000000000000e+01 4.836350132630498622e-01
2.700000000000000000e+01 9.065157518885685883e-01
2.850000000000000000e+01 1.300293901800152252e+00
3.000000000000000000e+01 1.104669181548566970e+00
3.150000000000000000e+01 8.904255203639811489e-01
3.300000000000000000e+01 6.287840553062574722e-01
3.450000000000000000e+01 -2.409478312875293904e-01
3.600000000000000000e+01 -2.175470573246216510e-01
3.750000000000000000e+01 2.175627092545874497e+00
3.900000000000000000e+01 8.720595559012470632e-01
4.050000000000000000e+01 8.048158766523297869e-01
4.200000000000000000e+01 8.250479213674120071e-01
4.350000000000000000e+01 5.430457964594360698e-01
4.500000000000000000e+01 2.343388676252304292e-01
4.650000000000000000e+01 4.935157555189167988e-01
4.800000000000000000e+01 6.853818694890924101e-01
4.950000000000000000e+01 7.003550918861831676e-01
5.100000000000000000e+01 2.523603019354423993e-01
5.250000000000000000e+01 4.146455018484128674e-01
5.400000000000000000e+01 5.228160470210150290e-01
5.550000000000000000e+01 6.557496166926142234e-01
5.700000000000000000e+01 5.572806573140438591e-01
5.850000000000000000e+01 4.702416981633090742e-01
6.000000000000000000e+01 3.193116163908910066e-01
6.150000000000000000e+01 8.217364620201584868e-01
6.300000000000000000e+01 7.173328643046008590e-01
6.450000000000000000e+01 3.497960141318809391e-01
6.600000000000000000e+01 5.744039545256875989e-01
6.750000000000000000e+01 7.940088651915773177e-01
6.900000000000000000e+01 5.840270755484594511e-01
7.050000000000000000e+01 6.101837391069723227e-01
7.200000000000000000e+01 4.219567860312878338e-01
7.350000000000000000e+01 7.428768656367338297e-01
7.500000000000000000e+01 7.344242500834000653e-01
7.650000000000000000e+01 6.160651330380890744e-01
7.800000000000000000e+01 8.262382610631401336e-01
7.950000000000000000e+01 7.777724828564545057e-01
8.100000000000000000e+01 7.716117573044096734e-01
8.250000000000000000e+01 5.539924095993806752e-01
8.400000000000000000e+01 5.349656871110409773e-01
8.550000000000000000e+01 8.980087845827492421e-01
8.700000000000000000e+01 9.364237151569714257e-01
8.850000000000000000e+01 4.107063934606487443e-01
9.000000000000000000e+01 3.907817813106287952e-01
9.150000000000000000e+01 8.713955351859435927e-01
9.300000000000000000e+01 7.813291024518174144e-01
9.450000000000000000e+01 4.183679926557485884e-01
9.600000000000000000e+01 4.029057109057895270e-01
9.750000000000000000e+01 3.625946303311022301e-01
9.900000000000000000e+01 3.279780230811479846e-01
1.005000000000000000e+02 -1.713526808991214234e-01
1.020000000000000000e+02 -5.443681012514933748e-02
1.035000000000000000e+02 6.555690076071249983e-01
1.050000000000000000e+02 nan
1.065000000000000000e+02 nan
1.080000000000000000e+02 nan
1.095000000000000000e+02 nan
1.110000000000000000e+02 nan
1.125000000000000000e+02 nan
