# s_um   R_B_m2K_per_GW
2.500000000000000000e+00 1.292538327282158672e+00
5.000000000000000000e+00 -9.179570580872112862e-01
7.500000000000000000e+00 -1.689600642443199296e+00
1.000000000000000000e+01 6.855819038708385049e-01
1.250000000000000000e+01 1.986630686639548315e+01
1.500000000000000000e+01 -1.131808953392255290e+01
1.750000000000000000e+01 -6.356407475012253450e-01
2.000000000000000000e+01 8.256513623088395093e-01
2.250000000000000000e+01 8.760072360240767075e-01
2.500000000000000000e+01 -6.585283812445376084e-01
2.750000000000000000e+01 -2.809322926690098476e-02
3.000000000000000000e+01 9.454537326139693387e-02
3.250000000000000000e+01 1.046427185870196119e+00
3.500000000000000000e+01 1.225898395308335775e+00
3.750000000000000000e+01 7.505562509564843721e-01
4.000000000000000000e+01 -2.402738575544385302e-01
4.250000000000000000e+01 -4.704773837899218769e-01
4.500000000000000000e+01 9.295656755609612576e-01
4.750000000000000000e+01 6.029460024628858772e-01
5.000000000000000000e+01 8.849523435943955629e-01
5.250000000000000000e+01 4.558621985918726582e-01
5.500000000000000000e+01 1.027142912934499552e+00
5.750000000000000000e+01 8.825824279675607009e-01
6.000000000000000000e+01 9.670793166523383722e-01
6.250000000000000000e+01 6.769040526541726388e-01
6.500000000000000000e+01 -6.788601570459374956e-01
6.750000000000000000e+01 -3.741721614300006937e+00
7.000000000000000000e+01 4.932386600709541824e-01
7.250000000000000000e+01 5.930735826387777410e-01
7.500000000000000000e+01 2.595052692831910646e-01
7.750000000000000000e+01 8.370992140435484785e-01
8.000000000000000000e+01 1.257547393429627458e-01
8.250000000000000000e+01 4.159454034115128152e-01
8.500000000000000000e+01 5.244781099974630267e-01
