# s_um   R_B_m2K_per_GW
1.500000000000000000e+00 nan
3.000000000000000000e+00 nan
4.500000000000000000e+00 nan
6.000000000000000000e+00 nan
7.500000000000000000e+00 3.513262392615655316e-01
9.000000000000000000e+00 5.508892616958910304e-01
1.050000000000000000e+01 3.850433801432594505e-01
1.200000000000000000e+01 8.591388476888095482e-02
1.350000000000000000e+01 4.902624074155300105e-01
1.500000000000000000e+01 4.691247865922736904e-01
1.650000000000000000e+01 2.211497926340668108e-01
1.800000000000000000e+01 2.571320370011382361e-01
1.950000000000000000e+01 5.204357186697436966e-01
2.100000000000000000e+01 4.307631129016425975e-01
2.250000000000000000e+01 3.530659451283782446e-02
2.400000000000000000e+01 2.160866502881809426e-01
2.550000000000000000e+01 -6.149397704456577296e-03
2.700000000000000000e+01 1.340200747566276940e-01
2.850000000000000000e+01 3.281876655628636064e-01
3.000000000000000000e+01 3.232755982332818356e-01
3.150000000000000000e+01 5.521702620049887544e-01
3.300000000000000000e+01 4.897591239804243712e-01
3.450000000000000000e+01 1.901791111070109952e-01
3.600000000000000000e+01 3.487555260542418711e-01
3.750000000000000000e+01 9.636428253935312715e-02
3.900000000000000000e+01 2.832676312669916707e-01
4.050000000000000000e+01 4.434008192417623895e-01
4.200000000000000000e+01 6.107442408898459130e-01
4.350000000000000000e+01 7.168366629344912200e-01
4.500000000000000000e+01 4.764121066976844121e-01
4.650000000000000000e+01 4.496745406825447544e-01
4.800000000000000000e+01 3.847947193417161627e-01
4.950000000000000000e+01 1.180056972373220991e-01
5.100000000000000000e+01 7.904760614788881867e-02
5.250000000000000000e+01 8.303909318196259215e-02
5.400000000000000000e+01 1.990662044360250182e-02
5.550000000000000000e+01 -4.884909621167468630e-02
5.700000000000000000e+01 6.695994439775343476e-02
5.850000000000000000e+01 3.231776447711632860e-01
6.000000000000000000e+01 6.904966853712855013e-01
6.150000000000000000e+01 7.497697311786711838e-01
6.300000000000000000e+01 3.573763180838844811e-01
6.450000000000000000e+01 3.573030581690123109e-01
6.600000000000000000e+01 1.009476191145890267e+00
6.750000000000000000e+01 7.237665128039219020e-01
6.900000000000000000e+01 2.963632858029871531e-01
7.050000000000000000e+01 1.510403467484059958e-01
7.200000000000000000e+01 2.692339345478251267e-01
7.350000000000000000e+01 2.324980176048852543e-01
7.500000000000000000e+01 8.057077695342004242e-01
7.650000000000000000e+01 1.022058956729139156e+00
7.800000000000000000e+01 6.460804240844776336e-01
7.950000000000000000e+01 4.090912395523447764e-01
8.100000000000000000e+01 1.764755785078644390e-01
8.250000000000000000e+01 6.233357555723073595e-02
8.400000000000000000e+01 -3.521737708805566802e-03
8.550000000000000000e+01 3.042140173354640487e-01
8.700000000000000000e+01 7.139320818927147316e-02
8.850000000000000000e+01 6.559160801499080984e-01
9.000000000000000000e+01 2.324372453208881917e-01
9.150000000000000000e+01 -2.641265201100644888e-01
9.300000000000000000e+01 5.091229925708521536e-02
9.450000000000000000e+01 4.344518582673363993e-01
9.600000000000000000e+01 -1.907161140161826030e-01
9.750000000000000000e+01 -1.154966020582291475e-01
9.900000000000000000e+01 6.125521492270946666e-02
1.005000000000000000e+02 -5.551428161546717588e-02
1.020000000000000000e+02 -2.445506702756526998e-02
1.035000000000000000e+02 4.339010657479713817e-02
1.050000000000000000e+02 -1.245234408223783173e-02
1.065000000000000000e+02 nan
1.080000000000000000e+02 nan
1.095000000000000000e+02 nan
1.110000000000000000e+02 nan
1.125000000000000000e+02 nan
1.140000000000000000e+02 nan
1.155000000000000000e+02 nan
1.170000000000000000e+02 nan
1.185000000000000000e+02 nan
