# s_um   R_B_m2K_per_GW
3.000000000000000000e+00 2.258561113136404952e+00
6.000000000000000000e+00 4.706738782993687975e-01
9.000000000000000000e+00 4.280962132056443936e-01
1.200000000000000000e+01 6.234232881774920410e-01
1.500000000000000000e+01 8.534313128251669323e-01
1.800000000000000000e+01 5.309163172442653567e-01
2.100000000000000000e+01 5.095727210196830947e-01
2.400000000000000000e+01 6.979845078831715677e-01
2.700000000000000000e+01 8.843324413168218712e-01
3.000000000000000000e+01 2.235414916400062069e+00
3.300000000000000000e+01 2.589845943285837393e+00
3.600000000000000000e+01 -8.026102429849091280e-02
3.900000000000000000e+01 2.712094931206068260e-01
4.200000000000000000e+01 1.230585725540694897e-01
4.500000000000000000e+01 2.985751986823204085e-01
4.800000000000000000e+01 8.655163998792405611e-01
5.100000000000000000e+01 9.642775046301014230e-01
