# s_um   R_B_m2K_per_GW
3.000000000000000000e+00 1.369996798616877065e+00
6.000000000000000000e+00 1.422029187288331720e+00
9.000000000000000000e+00 1.415521616211778744e+00
1.200000000000000000e+01 1.365929640508588339e+00
1.500000000000000000e+01 1.223510677520514234e+00
1.800000000000000000e+01 1.007561554911555746e+00
2.100000000000000000e+01 6.598932580952006077e-01
2.400000000000000000e+01 5.725020770523359115e-01
2.700000000000000000e+01 1.041289278727299816e+00
3.000000000000000000e+01 9.518306491263530678e-01
3.300000000000000000e+01 9.075740890050392196e-01
3.600000000000000000e+01 1.055116685156595180e+00
3.900000000000000000e+01 9.987222820695181857e-01
4.200000000000000000e+01 1.081660729709217561e+00
4.500000000000000000e+01 1.349104027706321540e+00
4.800000000000000000e+01 9.442337037102721542e-01
5.100000000000000000e+01 7.494787313580948407e-01
5.400000000000000000e+01 2.422622521744930424e+00
5.700000000000000000e+01 1.876043938688845003e-01
6.000000000000000000e+01 1.234868563547010689e+00
6.300000000000000000e+01 1.189778348523689688e+00
6.600000000000000000e+01 1.172994925555147061e+00
6.900000000000000000e+01 1.133413594432907345e+00
