# s_um   R_B_m2K_per_GW
3.000000000000000000e+00 1.713931018448014321e+00
6.000000000000000000e+00 6.496012196307026088e-01
9.000000000000000000e+00 9.664818096717264773e-02
1.200000000000000000e+01 4.319119853462461411e-01
1.500000000000000000e+01 5.462966200376866421e-01
1.800000000000000000e+01 7.936692915794631986e-01
2.100000000000000000e+01 1.044825419748920403e+00
2.400000000000000000e+01 2.482828589532383723e-01
2.700000000000000000e+01 4.627962090484480373e-02
3.000000000000000000e+01 2.273196568053363897e-01
3.300000000000000000e+01 1.839036851243756709e+00
3.600000000000000000e+01 1.706592369910563178e+00
3.900000000000000000e+01 -6.065426420142916442e-02
4.200000000000000000e+01 -6.062542755812658779e-01
4.500000000000000000e+01 -6.937409632921094360e-01
4.800000000000000000e+01 -9.210567045023637656e-02
5.100000000000000000e+01 5.252677717775642297e-01
5.400000000000000000e+01 2.981888030486937180e-02
5.700000000000000000e+01 -5.888840971028627691e-02
