# s_um   R_B_m2K_per_GW
2.500000000000000000e+00 nan
5.000000000000000000e+00 nan
7.500000000000000000e+00 1.786676722980881316e+00
1.000000000000000000e+01 3.106933893713969219e+00
1.250000000000000000e+01 2.391427146715671415e-01
1.500000000000000000e+01 2.153129976716537275e+00
1.750000000000000000e+01 3.033190681329945626e+00
2.000000000000000000e+01 2.299084682952497349e+00
2.250000000000000000e+01 1.821042522377394945e+00
2.500000000000000000e+01 9.715636169883185014e-01
2.750000000000000000e+01 8.985864481714581631e-01
3.000000000000000000e+01 1.180549302594100736e+00
3.250000000000000000e+01 7.044753385599276108e+00
3.500000000000000000e+01 7.561460763357342962e+00
3.750000000000000000e+01 1.524133497766843703e+00
4.000000000000000000e+01 1.374133716275408812e+00
4.250000000000000000e+01 1.608996501779054178e+00
4.500000000000000000e+01 1.394721464654411935e+00
4.750000000000000000e+01 2.013087226900456272e+00
5.000000000000000000e+01 2.131541320595579769e+00
5.250000000000000000e+01 2.458545399136549570e+00
5.500000000000000000e+01 2.602906300204633094e+00
5.750000000000000000e+01 2.272897006802073072e+00
6.000000000000000000e+01 3.527228649517390124e+00
6.250000000000000000e+01 2.015924629645450494e+00
6.500000000000000000e+01 1.300589690678041643e+00
6.750000000000000000e+01 9.557708634196749875e-01
7.000000000000000000e+01 1.464671387005344938e+00
7.250000000000000000e+01 2.470263782392353669e+00
7.500000000000000000e+01 2.708808435636421930e+00
7.750000000000000000e+01 2.649727173939257163e+00
8.000000000000000000e+01 1.633505633018405234e+00
8.250000000000000000e+01 1.312820085659015090e+00
8.500000000000000000e+01 1.691357391587163805e+00
8.750000000000000000e+01 2.150123916870194218e+00
9.000000000000000000e+01 2.792496925059045676e+00
9.250000000000000000e+01 -9.066781547501372440e-01
9.500000000000000000e+01 -6.511234090731544688e-01
9.750000000000000000e+01 2.000611728971604109e+00
1.000000000000000000e+02 1.960324065966668305e+00
1.025000000000000000e+02 1.907432522588927704e+00
1.050000000000000000e+02 nan
1.075000000000000000e+02 nan
