# s_um   R_B_m2K_per_GW
3.000000000000000000e+00 nan
6.000000000000000000e+00 nan
9.000000000000000000e+00 nan
1.200000000000000000e+01 4.982858131471624152e-01
1.500000000000000000e+01 9.954238222404996339e-01
1.800000000000000000e+01 1.269167392739086075e+00
2.100000000000000000e+01 1.822431275063042477e+00
2.400000000000000000e+01 1.574980930139381563e+00
2.700000000000000000e+01 1.055916980721530063e+00
3.000000000000000000e+01 -2.123127607095758318e+00
3.300000000000000000e+01 7.365771377744888326e+00
3.600000000000000000e+01 1.158817944909448006e+00
3.900000000000000000e+01 1.278099899738796008e+00
4.200000000000000000e+01 8.293905953760817296e-01
4.500000000000000000e+01 1.207427451418073838e+00
4.800000000000000000e+01 1.284064500916988649e+00
5.100000000000000000e+01 1.079729803566739754e+00
5.400000000000000000e+01 1.110985762340718219e+00
5.700000000000000000e+01 2.492939949414680889e+00
6.000000000000000000e+01 2.099042360023123166e+00
6.300000000000000000e+01 1.467164519534770450e+00
6.600000000000000000e+01 1.700583012254563986e+00
6.900000000000000000e+01 1.777806602422017379e+00
7.200000000000000000e+01 1.282503370318576419e+00
7.500000000000000000e+01 1.144974303538296212e+00
7.800000000000000000e+01 1.167755171870443975e+00
8.100000000000000000e+01 1.520661230685250942e+00
8.400000000000000000e+01 2.233302593471012454e+00
8.700000000000000000e+01 1.923693906961029487e+00
9.000000000000000000e+01 2.375074690236867347e+00
9.300000000000000000e+01 2.448227826425668940e+00
9.600000000000000000e+01 1.820830867532891695e+00
9.900000000000000000e+01 1.002956828850063653e+00
1.020000000000000000e+02 3.005331458996298166e-01
1.050000000000000000e+02 1.170990908323238378e-01
1.080000000000000000e+02 nan
