# s_um   R_B_m2K_per_GW
3.000000000000000000e+00 nan
6.000000000000000000e+00 5.517336976179462171e-01
9.000000000000000000e+00 -1.759604225264738697e-01
1.200000000000000000e+01 3.606026550944376186e-01
1.500000000000000000e+01 1.447452458658461394e-01
1.800000000000000000e+01 2.148976557407341823e-02
2.100000000000000000e+01 1.946102008461111921e-01
2.400000000000000000e+01 1.189468670188651850e-01
2.700000000000000000e+01 -2.283519294333455629e-01
3.000000000000000000e+01 2.679342928050957084e+00
3.300000000000000000e+01 3.805056927236576958e-01
3.600000000000000000e+01 1.789187407702088062e-01
3.900000000000000000e+01 2.129720448977115710e-01
4.200000000000000000e+01 -1.349915029479032691e-01
4.500000000000000000e+01 -5.179802530485691503e-02
4.800000000000000000e+01 5.117363353294508421e-01
5.100000000000000000e+01 1.388709030300590286e-01
5.400000000000000000e+01 4.408674557550380513e-01
5.700000000000000000e+01 4.180670885533985248e-01
6.000000000000000000e+01 4.504537089464365485e-01
6.300000000000000000e+01 8.690741702902021748e-01
6.600000000000000000e+01 6.076861291865591763e-01
6.900000000000000000e+01 1.998616775648602018e-01
7.200000000000000000e+01 4.906226848653409967e-01
7.500000000000000000e+01 -2.052244344227704964e-02
7.800000000000000000e+01 6.010789390280837363e-01
8.100000000000000000e+01 -5.130740734546639370e-01
8.400000000000000000e+01 -3.658721699283748463e-01
8.700000000000000000e+01 nan
9.000000000000000000e+01 1.884302272553291524e-01
9.300000000000000000e+01 7.762045343540430187e-02
9.600000000000000000e+01 -2.356523233374949178e-02
9.900000000000000000e+01 1.109280252814710988e+00
1.020000000000000000e+02 -2.588116852612992735e-01
1.050000000000000000e+02 1.809141084175094338e-01
1.080000000000000000e+02 2.880472177015743207e-01
1.110000000000000000e+02 2.376063436720952660e-01
1.140000000000000000e+02 5.116215301330616638e-01
1.170000000000000000e+02 1.209832900651705678e+00
1.200000000000000000e+02 nan
1.230000000000000000e+02 nan
